Field,Topic,Keyword,Related Word,Weight
經濟,失業或就業不穩定,失業,落網,0.646021
經濟,失業或就業不穩定,失業,急難,0.63495
經濟,失業或就業不穩定,失業,攜女,0.632883
經濟,失業或就業不穩定,失業,農藥,0.632149
經濟,失業或就業不穩定,失業,房客,0.631556
經濟,失業或就業不穩定,失業,流浪,0.630397
經濟,失業或就業不穩定,失業,無業,0.628154
經濟,失業或就業不穩定,失業,飛車,0.624777
經濟,失業或就業不穩定,失業,借錢,0.623857
經濟,失業或就業不穩定,失業,自焚,0.623706
經濟,失業或就業不穩定,失業,街友,0.623423
經濟,失業或就業不穩定,失業,老父,0.621667
經濟,失業或就業不穩定,失業,騎士,0.619888
經濟,失業或就業不穩定,失業,教師,0.619561
經濟,失業或就業不穩定,失業,求助,0.61947
經濟,失業或就業不穩定,失業,原民,0.618467
經濟,失業或就業不穩定,失業,判刑,0.614476
經濟,失業或就業不穩定,失業,輕生,0.614273
經濟,失業或就業不穩定,失業,國民年金,0.613193
經濟,失業或就業不穩定,失業,夫婦,0.612935
經濟,失業或就業不穩定,失業,警局,0.612362
經濟,失業或就業不穩定,失業,酒駕,0.611896
經濟,失業或就業不穩定,失業,申請,0.611624
經濟,失業或就業不穩定,失業,首長,0.609587
經濟,失業或就業不穩定,失業,扶助,0.609232
經濟,失業或就業不穩定,失業,貧窮,0.608751
經濟,失業或就業不穩定,失業,難解,0.608685
經濟,失業或就業不穩定,失業,社工,0.608646
經濟,失業或就業不穩定,失業,獨居,0.606645
經濟,失業或就業不穩定,失業,午餐費,0.605983
經濟,失業或就業不穩定,失業,沒錢,0.605949
經濟,失業或就業不穩定,失業,救助,0.605878
經濟,失業或就業不穩定,失業,堅強,0.605591
經濟,失業或就業不穩定,失業,通報,0.60433
經濟,失業或就業不穩定,失業,失業者,0.604126
經濟,失業或就業不穩定,失業,讀者,0.603541
經濟,失業或就業不穩定,失業,勞保,0.603427
經濟,失業或就業不穩定,失業,升格,0.603134
經濟,失業或就業不穩定,失業,公所,0.602973
經濟,失業或就業不穩定,失業,重症,0.602685
經濟,失業或就業不穩定,失業,警方,0.602564
經濟,失業或就業不穩定,失業,有話,0.602224
經濟,失業或就業不穩定,失業,法辦,0.600711
經濟,失業或就業不穩定,失業,水電,0.600184
經濟,失業或就業不穩定,失業,不讓,0.598266
經濟,失業或就業不穩定,失業,父母,0.598099
經濟,失業或就業不穩定,失業,跳樓,0.597573
經濟,失業或就業不穩定,失業,淪為,0.597512
經濟,失業或就業不穩定,失業,臨時,0.597029
經濟,失業或就業不穩定,失業,起訴,0.596851
經濟,失業或就業不穩定,失業,資格,0.59666
經濟,失業或就業不穩定,失業,守護,0.596646
經濟,失業或就業不穩定,失業,口角,0.596064
經濟,失業或就業不穩定,失業,陳沖,0.595616
經濟,失業或就業不穩定,失業,存摺,0.595439
經濟,失業或就業不穩定,失業,婦人,0.595202
經濟,失業或就業不穩定,失業,辦法,0.594925
經濟,失業或就業不穩定,失業,想不開,0.593543
經濟,失業或就業不穩定,失業,單親,0.593241
經濟,失業或就業不穩定,失業,專線,0.593049
經濟,失業或就業不穩定,失業,區里,0.593041
經濟,失業或就業不穩定,失業,立院,0.592822
經濟,失業或就業不穩定,失業,援交,0.592536
經濟,失業或就業不穩定,失業,苦惱,0.592533
經濟,失業或就業不穩定,失業,交保,0.592265
經濟,失業或就業不穩定,失業,上課,0.591254
經濟,失業或就業不穩定,失業,過年,0.591228
經濟,失業或就業不穩定,失業,學士,0.590698
經濟,失業或就業不穩定,失業,家計,0.590157
經濟,失業或就業不穩定,失業,生命線,0.589983
經濟,失業或就業不穩定,失業,低收入,0.58998
經濟,失業或就業不穩定,失業,學費,0.589671
經濟,失業或就業不穩定,失業,小時,0.589465
經濟,失業或就業不穩定,失業,就醫,0.589432
經濟,失業或就業不穩定,失業,街頭,0.589232
經濟,失業或就業不穩定,失業,家長,0.589193
經濟,失業或就業不穩定,失業,解雇,0.58906
經濟,失業或就業不穩定,失業,高齡,0.588992
經濟,失業或就業不穩定,失業,學校,0.588935
經濟,失業或就業不穩定,失業,安置,0.588324
經濟,失業或就業不穩定,失業,投保,0.588023
經濟,失業或就業不穩定,失業,保母,0.587836
經濟,失業或就業不穩定,失業,考生,0.586904
經濟,失業或就業不穩定,失業,募款,0.585981
經濟,失業或就業不穩定,失業,兒子,0.585234
經濟,失業或就業不穩定,失業,勞基法,0.584625
經濟,失業或就業不穩定,失業,取代,0.584085
經濟,失業或就業不穩定,失業,強盜,0.583953
經濟,失業或就業不穩定,失業,難賺,0.583875
經濟,失業或就業不穩定,失業,詐騙,0.583866
經濟,失業或就業不穩定,失業,獲救,0.582858
經濟,失業或就業不穩定,失業,高中,0.582519
經濟,失業或就業不穩定,失業,請領,0.582427
經濟,失業或就業不穩定,失業,棒球隊,0.581766
經濟,失業或就業不穩定,失業,登記,0.581122
經濟,失業或就業不穩定,失業,酒後,0.580957
經濟,失業或就業不穩定,失業,房東,0.580841
經濟,失業或就業不穩定,失業,美食,0.58054
經濟,失業或就業不穩定,失業,縣市,0.580449
經濟,失業或就業不穩定,失業,遊民,0.580262
經濟,失業或就業不穩定,失業,遺棄,0.580089
經濟,失業或就業不穩定,失業,憂鬱,0.57998
經濟,失業或就業不穩定,失業,公主,0.579913
經濟,失業或就業不穩定,失業,立委,0.579808
經濟,失業或就業不穩定,失業,老母,0.57966
經濟,失業或就業不穩定,失業,女子,0.579361
經濟,失業或就業不穩定,失業,模範,0.578694
經濟,失業或就業不穩定,失業,錄取率,0.578478
經濟,失業或就業不穩定,失業,契約,0.578378
經濟,失業或就業不穩定,就業不穩定,執行長,0.695115
經濟,失業或就業不穩定,就業不穩定,專訪,0.606517
經濟,失業或就業不穩定,就業不穩定,不同,0.593505
經濟,失業或就業不穩定,就業不穩定,精選,0.593154
經濟,失業或就業不穩定,就業不穩定,營運,0.588092
經濟,失業或就業不穩定,就業不穩定,鋼鐵,0.58699
經濟,失業或就業不穩定,就業不穩定,上海,0.585149
經濟,失業或就業不穩定,就業不穩定,研究院,0.584491
經濟,失業或就業不穩定,就業不穩定,第一,0.583836
經濟,失業或就業不穩定,就業不穩定,人選,0.582571
經濟,失業或就業不穩定,就業不穩定,LED,0.580532
經濟,失業或就業不穩定,就業不穩定,代工,0.577754
經濟,失業或就業不穩定,就業不穩定,走向,0.577124
經濟,失業或就業不穩定,就業不穩定,針對,0.575434
經濟,失業或就業不穩定,就業不穩定,推手,0.574973
經濟,失業或就業不穩定,就業不穩定,事件,0.57474
經濟,失業或就業不穩定,就業不穩定,宏達,0.573827
經濟,失業或就業不穩定,就業不穩定,本報,0.573321
經濟,失業或就業不穩定,就業不穩定,混亂,0.572214
經濟,失業或就業不穩定,就業不穩定,目前,0.570942
經濟,失業或就業不穩定,就業不穩定,泥菩薩,0.570437
經濟,失業或就業不穩定,就業不穩定,出線,0.570245
經濟,失業或就業不穩定,就業不穩定,南非,0.569455
經濟,失業或就業不穩定,就業不穩定,迎接,0.569148
經濟,失業或就業不穩定,就業不穩定,恐成,0.567901
經濟,失業或就業不穩定,就業不穩定,瑞士,0.567679
經濟,失業或就業不穩定,就業不穩定,峰會,0.567142
經濟,失業或就業不穩定,就業不穩定,領軍,0.566319
經濟,失業或就業不穩定,就業不穩定,競賽,0.566213
