Field,Topic,Keyword,Related Word,Weight
經濟,失業或就業不穩定,失業,落網,0.646021
經濟,失業或就業不穩定,失業,急難,0.63495
經濟,失業或就業不穩定,失業,攜女,0.632883
經濟,失業或就業不穩定,失業,農藥,0.632149
經濟,失業或就業不穩定,失業,房客,0.631556
經濟,失業或就業不穩定,失業,流浪,0.630397
經濟,失業或就業不穩定,失業,無業,0.628154
經濟,失業或就業不穩定,失業,飛車,0.624777
經濟,失業或就業不穩定,失業,借錢,0.623857
經濟,失業或就業不穩定,失業,自焚,0.623706
經濟,失業或就業不穩定,失業,街友,0.623423
經濟,失業或就業不穩定,失業,老父,0.621667
經濟,失業或就業不穩定,失業,騎士,0.619888
經濟,失業或就業不穩定,失業,教師,0.619561
經濟,失業或就業不穩定,失業,求助,0.61947
經濟,失業或就業不穩定,失業,原民,0.618467
經濟,失業或就業不穩定,失業,判刑,0.614476
經濟,失業或就業不穩定,失業,輕生,0.614273
經濟,失業或就業不穩定,失業,國民年金,0.613193
經濟,失業或就業不穩定,失業,夫婦,0.612935
經濟,失業或就業不穩定,失業,酒駕,0.611896
經濟,失業或就業不穩定,失業,申請,0.611624
經濟,失業或就業不穩定,失業,首長,0.609587
經濟,失業或就業不穩定,失業,扶助,0.609232
經濟,失業或就業不穩定,失業,貧窮,0.608751
經濟,失業或就業不穩定,失業,難解,0.608685
經濟,失業或就業不穩定,失業,社工,0.608646
經濟,失業或就業不穩定,失業,獨居,0.606645
經濟,失業或就業不穩定,失業,午餐費,0.605983
經濟,失業或就業不穩定,失業,沒錢,0.605949
經濟,失業或就業不穩定,失業,救助,0.605878
經濟,失業或就業不穩定,失業,堅強,0.605591
經濟,失業或就業不穩定,失業,通報,0.60433
經濟,失業或就業不穩定,失業,失業者,0.604126
經濟,失業或就業不穩定,失業,勞保,0.603427
經濟,失業或就業不穩定,失業,公所,0.602973
經濟,失業或就業不穩定,失業,重症,0.602685
經濟,失業或就業不穩定,失業,警方,0.602564
經濟,失業或就業不穩定,失業,有話,0.602224
經濟,失業或就業不穩定,失業,法辦,0.600711
經濟,失業或就業不穩定,失業,水電,0.600184
經濟,失業或就業不穩定,失業,父母,0.598099
經濟,失業或就業不穩定,失業,跳樓,0.597573
經濟,失業或就業不穩定,失業,淪為,0.597512
經濟,失業或就業不穩定,失業,臨時,0.597029
經濟,失業或就業不穩定,失業,起訴,0.596851
經濟,失業或就業不穩定,失業,資格,0.59666
經濟,失業或就業不穩定,失業,守護,0.596646
經濟,失業或就業不穩定,失業,口角,0.596064
經濟,失業或就業不穩定,失業,存摺,0.595439
經濟,失業或就業不穩定,失業,婦人,0.595202
經濟,失業或就業不穩定,失業,辦法,0.594925
經濟,失業或就業不穩定,失業,想不開,0.593543
經濟,失業或就業不穩定,失業,單親,0.593241
經濟,失業或就業不穩定,失業,區里,0.593041
經濟,失業或就業不穩定,失業,立院,0.592822
經濟,失業或就業不穩定,失業,援交,0.592536
經濟,失業或就業不穩定,失業,苦惱,0.592533
經濟,失業或就業不穩定,失業,交保,0.592265
經濟,失業或就業不穩定,失業,過年,0.591228
經濟,失業或就業不穩定,失業,學士,0.590698
經濟,失業或就業不穩定,失業,家計,0.590157
經濟,失業或就業不穩定,失業,生命線,0.589983
經濟,失業或就業不穩定,失業,低收入,0.58998
經濟,失業或就業不穩定,失業,學費,0.589671
經濟,失業或就業不穩定,失業,小時,0.589465
經濟,失業或就業不穩定,失業,街頭,0.589232
經濟,失業或就業不穩定,失業,家長,0.589193
經濟,失業或就業不穩定,失業,解雇,0.58906
經濟,失業或就業不穩定,失業,高齡,0.588992
經濟,失業或就業不穩定,失業,學校,0.588935
經濟,失業或就業不穩定,失業,安置,0.588324
經濟,失業或就業不穩定,失業,投保,0.588023
經濟,失業或就業不穩定,失業,保母,0.587836
經濟,失業或就業不穩定,失業,考生,0.586904
經濟,失業或就業不穩定,失業,募款,0.585981
經濟,失業或就業不穩定,失業,兒子,0.585234
經濟,失業或就業不穩定,失業,取代,0.584085
經濟,失業或就業不穩定,失業,強盜,0.583953
經濟,失業或就業不穩定,失業,詐騙,0.583866
經濟,失業或就業不穩定,失業,獲救,0.582858
經濟,失業或就業不穩定,失業,高中,0.582519
經濟,失業或就業不穩定,失業,請領,0.582427
經濟,失業或就業不穩定,失業,棒球隊,0.581766
經濟,失業或就業不穩定,失業,登記,0.581122
經濟,失業或就業不穩定,失業,酒後,0.580957
經濟,失業或就業不穩定,失業,房東,0.580841
經濟,失業或就業不穩定,失業,美食,0.58054
經濟,失業或就業不穩定,失業,縣市,0.580449
經濟,失業或就業不穩定,失業,遊民,0.580262
經濟,失業或就業不穩定,失業,遺棄,0.580089
經濟,失業或就業不穩定,失業,憂鬱,0.57998
經濟,失業或就業不穩定,失業,公主,0.579913
經濟,失業或就業不穩定,失業,老母,0.57966
經濟,失業或就業不穩定,失業,女子,0.579361
經濟,失業或就業不穩定,失業,模範,0.578695
經濟,失業或就業不穩定,失業,錄取率,0.578478
經濟,失業或就業不穩定,失業,契約,0.578378
經濟,失業或就業不穩定,就業不穩定,執行長,0.695115
經濟,失業或就業不穩定,就業不穩定,精選,0.593154
經濟,失業或就業不穩定,就業不穩定,熱錢,0.559161
經濟,失業或就業不穩定,就業不穩定,連莊,0.556431
經濟,失業或就業不穩定,就業不穩定,信評,0.543936
經濟,失業或就業不穩定,就業不穩定,債信,0.541635
經濟,失業或就業不穩定,無薪假,家電,0.581519
經濟,失業或就業不穩定,無薪假,契約,0.569419
經濟,失業或就業不穩定,無薪假,資遣,0.567685
經濟,失業或就業不穩定,無薪假,過年,0.565594
經濟,失業或就業不穩定,無薪假,優退,0.561941
經濟,失業或就業不穩定,無薪假,資方,0.56009
經濟,失業或就業不穩定,無薪假,無薪,0.558876
經濟,失業或就業不穩定,無薪假,日起,0.557839
經濟,失業或就業不穩定,無薪假,錄取率,0.55413
經濟,失業或就業不穩定,無薪假,每月,0.553914
經濟,失業或就業不穩定,無薪假,資格,0.553616
經濟,失業或就業不穩定,無薪假,申請,0.546243
經濟,失業或就業不穩定,無薪假,機械業,0.545676
經濟,失業或就業不穩定,無薪假,暫緩,0.541286
經濟,失業或就業不穩定,無薪假,客戶,0.540488
經濟,失業或就業不穩定,無薪假,臨時,0.539455
經濟,失業或就業不穩定,無薪假,棒球隊,0.538134
經濟,失業或就業不穩定,無薪假,考生,0.537026
經濟,失業或就業不穩定,無薪假,投保,0.536671
經濟,失業或就業不穩定,無薪假,金管會,0.534661
經濟,失業或就業不穩定,無薪假,新貴,0.534052
經濟,失業或就業不穩定,無薪假,陸續,0.531691
經濟,失業或就業不穩定,無薪假,正職,0.531139
經濟,失業或就業不穩定,無薪假,解雇,0.528854
經濟,失業或就業不穩定,無薪假,即起,0.528247
經濟,失業或就業不穩定,無薪假,金控,0.526801
經濟,失業或就業不穩定,無薪假,少成,0.526699
經濟,失業或就業不穩定,無薪假,低收入,0.517593
經濟,失業或就業不穩定,無薪假,立院,0.515591
經濟,失業或就業不穩定,無薪假,繳稅,0.514955
經濟,失業或就業不穩定,無薪假,水電,0.512078
經濟,失業或就業不穩定,無薪假,勞保,0.508803
經濟,失業或就業不穩定,無薪假,撙節,0.508307
經濟,失業或就業不穩定,無薪假,取代,0.50745
經濟,失業或就業不穩定,無薪假,研發,0.505868
