Field,Topic,Keyword,Related Word,Weight
社會,少子化與高齡化社會,國民年金,國民年金,1.0
社會,少子化與高齡化社會,國民年金,加碼,0.894965
社會,少子化與高齡化社會,國民年金,明年,0.880463
社會,少子化與高齡化社會,國民年金,老農,0.878232
社會,少子化與高齡化社會,國民年金,津貼,0.874678
社會,少子化與高齡化社會,國民年金,國保,0.868107
社會,少子化與高齡化社會,國民年金,營業稅,0.867371
社會,少子化與高齡化社會,國民年金,可望,0.865486
社會,少子化與高齡化社會,國民年金,所得,0.846277
社會,少子化與高齡化社會,國民年金,保費,0.841759
社會,少子化與高齡化社會,國民年金,失業,0.837413
社會,少子化與高齡化社會,國民年金,勞工,0.820437
社會,少子化與高齡化社會,國民年金,財政,0.812977
社會,少子化與高齡化社會,國民年金,勞保,0.810572
社會,少子化與高齡化社會,國民年金,老年,0.810292
社會,少子化與高齡化社會,國民年金,年資,0.807412
社會,少子化與高齡化社會,國民年金,勞退,0.80553
社會,少子化與高齡化社會,國民年金,財源,0.803922
社會,少子化與高齡化社會,國民年金,政院,0.796549
社會,少子化與高齡化社會,國民年金,月領,0.794781
社會,少子化與高齡化社會,國民年金,還是,0.794603
社會,少子化與高齡化社會,國民年金,修法,0.784397
社會,少子化與高齡化社會,國民年金,股市,0.78327
社會,少子化與高齡化社會,國民年金,衝擊,0.782719
社會,少子化與高齡化社會,國民年金,年金,0.781845
社會,少子化與高齡化社會,國民年金,調整,0.781326
社會,少子化與高齡化社會,國民年金,提高,0.781206
社會,少子化與高齡化社會,國民年金,年底,0.779066
社會,少子化與高齡化社會,國民年金,勞委會,0.777836
社會,少子化與高齡化社會,國民年金,二代,0.770835
社會,少子化與高齡化社會,國民年金,上路,0.769032
社會,少子化與高齡化社會,國民年金,縮水,0.768599
社會,少子化與高齡化社會,國民年金,總統,0.764483
社會,少子化與高齡化社會,國民年金,立院,0.764394
社會,少子化與高齡化社會,國民年金,支出,0.764248
社會,少子化與高齡化社會,國民年金,立委,0.763182
社會,少子化與高齡化社會,國民年金,給付,0.756475
社會,少子化與高齡化社會,國民年金,經費,0.75427
社會,少子化與高齡化社會,國民年金,超過,0.754113
